time     x        y        hdg      vel      acc      steer    lat_err  lng_err  hdg_err  
0.000    0.000    0.000    0.000    0.200    2.000    -0.50    30.00    100.0    0.000    
0.100    0.020    0.000    0.000    0.400    2.000    -0.000   0.000    100.0    0.000    
0.200    0.060    0.000    0.000    0.600    2.000    -0.000   0.000    99.98    0.000    
0.300    0.120    0.000    0.000    0.800    2.000    -0.000   0.000    99.94    0.000    
0.400    0.200    0.000    0.000    1.000    2.000    -0.000   0.000    99.88    0.000    
0.500    0.300    0.000    0.000    1.200    2.000    -0.000   0.000    99.80    0.000    
0.600    0.420    0.000    0.000    1.400    2.000    -0.000   0.000    99.70    0.000    
0.700    0.560    0.000    0.000    1.600    2.000    -0.000   0.000    99.58    0.000    
0.800    0.720    0.000    0.000    1.800    2.000    -0.000   0.000    99.44    0.000    
0.900    0.900    0.000    0.000    2.000    2.000    -0.000   0.000    99.28    0.000    
1.000    1.100    0.000    0.000    2.200    2.000    -0.000   0.000    99.10    0.000    
1.100    1.320    0.000    0.000    2.400    2.000    -0.000   0.000    98.90    0.000    
1.200    1.560    0.000    0.000    2.600    2.000    -0.000   0.000    98.68    0.000    
1.300    1.820    0.000    0.000    2.800    2.000    -0.000   0.000    98.44    0.000    
1.400    2.100    0.000    0.000    3.000    2.000    -0.000   0.000    98.18    0.000    
1.500    2.400    0.000    0.000    3.000    2.000    -0.000   0.000    97.90    0.000    
1.600    2.700    0.000    0.000    3.000    2.000    -0.000   0.000    97.60    0.000    
1.700    3.000    0.000    0.000    3.000    2.000    -0.000   0.000    97.30    0.000    
1.800    3.300    0.000    0.000    3.000    2.000    -0.000   0.000    97.00    0.000    
1.900    3.600    0.000    0.000    3.000    2.000    -0.000   0.000    96.70    0.000    
2.000    3.900    0.000    0.000    3.000    2.000    -0.000   0.000    96.40    0.000    
2.100    4.200    0.000    0.000    3.000    2.000    -0.000   0.000    96.10    0.000    
2.200    4.500    0.000    0.000    3.000    2.000    -0.000   0.000    95.80    0.000    
2.300    4.800    0.000    0.000    3.000    2.000    -0.000   0.000    95.50    0.000    
2.400    5.100    0.000    0.000    3.000    2.000    -0.000   0.000    95.20    0.000    
2.500    5.400    0.000    0.000    3.000    2.000    -0.000   0.000    94.90    0.000    
2.600    5.700    0.000    0.000    3.000    2.000    -0.000   0.000    94.60    0.000    
2.700    6.000    0.000    0.000    3.000    2.000    -0.000   0.000    94.30    0.000    
2.800    6.300    0.000    0.000    3.000    2.000    -0.000   0.000    94.00    0.000    
2.900    6.600    0.000    0.000    3.000    2.000    -0.000   0.000    93.70    0.000    
3.000    6.900    0.000    0.000    3.000    2.000    -0.000   0.000    93.40    0.000    
3.100    7.200    0.000    0.000    3.000    2.000    -0.000   0.000    93.10    0.000    
3.200    7.500    0.000    0.000    3.000    2.000    -0.000   0.000    92.80    0.000    
3.300    7.800    0.000    0.000    3.000    2.000    -0.000   0.000    92.50    0.000    
3.400    8.100    0.000    0.000    3.000    2.000    -0.000   0.000    92.20    0.000    
3.500    8.400    0.000    0.000    3.000    2.000    -0.000   0.000    91.90    0.000    
3.600    8.700    0.000    0.000    3.000    2.000    -0.000   0.000    91.60    0.000    
3.700    9.000    0.000    0.000    3.000    2.000    -0.000   0.000    91.30    0.000    
3.800    9.300    0.000    0.000    3.000    2.000    -0.000   0.000    91.00    0.000    
3.900    9.600    0.000    0.000    3.000    2.000    -0.000   0.000    90.70    0.000    
4.000    9.900    0.000    0.000    3.000    2.000    -0.000   0.000    90.40    0.000    
4.100    10.20    0.000    0.000    3.000    2.000    -0.000   0.000    90.10    0.000    
4.200    10.50    0.000    0.000    3.000    2.000    -0.000   0.000    89.80    0.000    
4.300    10.80    0.000    0.000    3.000    2.000    -0.000   0.000    89.50    0.000    
4.400    11.10    0.000    0.000    3.000    2.000    -0.000   0.000    89.20    0.000    
4.500    11.40    0.000    0.000    3.000    2.000    -0.000   0.000    88.90    0.000    
4.600    11.70    0.000    0.000    3.000    2.000    -0.000   0.000    88.60    0.000    
4.700    12.00    0.000    0.000    3.000    2.000    -0.000   0.000    88.30    0.000    
4.800    12.30    0.000    0.000    3.000    2.000    -0.000   0.000    88.00    0.000    
4.900    12.60    0.000    0.000    3.000    2.000    -0.000   0.000    87.70    0.000    
5.000    12.90    0.000    0.000    3.000    2.000    -0.000   0.000    87.40    0.000    
5.100    13.20    0.000    0.000    3.000    2.000    -0.000   0.000    87.10    0.000    
5.200    13.50    0.000    0.000    3.000    2.000    -0.000   0.000    86.80    0.000    
5.300    13.80    0.000    0.000    3.000    2.000    -0.000   0.000    86.50    0.000    
5.400    14.10    0.000    0.000    3.000    2.000    -0.000   0.000    86.20    0.000    
5.500    14.40    0.000    0.000    3.000    2.000    -0.000   0.000    85.90    0.000    
5.600    14.70    0.000    0.000    3.000    2.000    -0.000   0.000    85.60    0.000    
5.700    15.00    0.000    0.000    3.000    2.000    -0.000   0.000    85.30    0.000    
5.800    15.30    0.000    0.000    3.000    2.000    -0.000   0.000    85.00    0.000    
5.900    15.60    0.000    0.000    3.000    2.000    -0.000   0.000    84.70    0.000    
6.000    15.90    0.000    0.000    3.000    2.000    -0.000   0.000    84.40    0.000    
6.100    16.20    0.000    0.000    3.000    2.000    -0.000   0.000    84.10    0.000    
